#読み込みがうまくいかないときはこのファイルの文字コードをUTF-8→ANSIにする

##から開始する行は読み込みの際に無視されます。
#ステージ番号,領域番号,イベント内容,メッセージ内容,表示時間(ミリ秒),強調開始位置(1文字目は0),強調する文字数
#表示時間が0の場合は次のメッセージまたは非表示化されるまで表示し続ける
#イベント内容...0:メッセージ表示,1:メッセージ非表示化

0,1,0,改めてよろしくね、僕がナビゲーションをするからよく聞くんだよ,0,0,0
0,2,0,Wで登る A/S/Dで移動できるよ,0,0,4
0,3,0,SPACEでジャンプ！ジャンプ中にWで壁のぼりが出来るよ,0,0,0
0,4,0,ジャンプは4回しか出来ない　 　       スタミナに気を付けてね,5000,5,2
0,5,0,…旧世代の大きな兵器が暴れているね,0,0,0
0,6,0,この兵器の腕　　　　　　                　　登るときの足場にできないかな？,7500,30,7
0,7,0,SHIFTで壁を素早く登れるよ！          その分スタミナの減りも早くなっちゃうけどね,0,0,0
0,8,1,0,0,0,0
0,9,0,あれ？足場がないね。                      こういう時は運んでもらうのはどうだろうか？,0,38,6
0,10,1,0,0,0,0
0,11,0,おっと！バレたみたいだ！逃げろ！,5000,0,0
0,12,0,おや？兵器の腕に鉄がついているみたい、今なら乗ることも出来そうだね,0,22,4
0,13,1,0,0,0,0

1,1,0,ここらで一つダミー魔法を教えよう,0,6,3
1,2,0,僕が君のダミーになれば　兵器の攻撃を誘導できるようになる,0,12,8
1,3,0,Rでダミーを出す　　　　　　　　　　　　　もう一度Rで解除できるよ,0,0,8
1,4,0,ここらへんでもう一度　　　　　　     　　　ダミー(Rキー)を使って誘導してみよう！,0,19,13
1,5,0,ダミー魔法は便利だから、どんどん使っていこう！,0,0,0
1,6,1,0,0,0,0
1,7,0,スイッチの近くでダミー(rキー)を使ってみよう,0,0,0
1,8,1,0,0,0,0

2,1,0,あの岩、スイッチと同じ色だね…　　　もしかしたら連動しているのかも,0,24,2
2,2,1,0,0,0,0

3,1,0,この岩、乗れそうだけど強い衝撃で　壊れそう…注意して進もう,0,11,4
3,2,1,0,0,0,0

4,1,0,この岩、よく見ると兵器に付いていた石があるね　乗ってみたら?,0,23,6
4,3,0,どうやら兵器の攻撃で動く岩のようだね、ありがたく利用させてもらおう,0,4,9
4,2,1,0,0,0,0

6,1,0,あの岩、落ちてきそうだね…,5000,2,1
6,2,0,どうやら兵器の攻撃で落ちてくる岩のようだね、気を付けて進もう,10000,4,12

7,1,0,あの光線、当たったら痛そうだね…,0,2,2
7,2,0,兵器の攻撃で防げるみたいだね、慎重に利用していこう,10000,0,9

8,1,0,頂上が近いみたい…　　　　　　　　　　気を引き締めて登ろう！,10000,0,0
